transactionId,accountId,beneficiaryId,deviceIdentifier,transactionReference,channel,transactionType,amount,transactionStatus
10001,5001,7001,DEVICE-AARAV-001,TXN-100001,UPI,Debit,2500.00,Success
10002,5001,7002,DEVICE-AARAV-001,TXN-100002,IMPS,Debit,15000.00,Success
10003,5002,7003,DEVICE-AARAV-002,TXN-100003,Net Banking,Debit,45000.00,Success
10004,5003,7004,DEVICE-PRIYA-001,TXN-100004,UPI,Debit,3200.50,Success
10005,5004,7005,DEVICE-PRIYA-001,TXN-100005,Net Banking,Debit,85000.00,Pending
10006,5005,7006,DEVICE-ROHAN-001,TXN-100006,RTGS,Debit,250000.00,Success
10007,5006,7007,DEVICE-SNEHA-001,TXN-100007,UPI,Debit,1800.00,Failed
10008,5007,7008,DEVICE-VIKRAM-001,TXN-100008,IMPS,Debit,22000.00,Success
10009,5001,7003,DEVICE-AARAV-001,TXN-100009,UPI,Debit,7500.00,Success
10010,5002,7001,DEVICE-AARAV-002,TXN-100010,NEFT,Debit,12000.00,Success
10011,5003,7002,DEVICE-PRIYA-001,TXN-100011,UPI,Debit,950.00,Success
10012,5004,7004,DEVICE-PRIYA-001,TXN-100012,IMPS,Debit,50000.00,Declined
10013,5005,7008,DEVICE-ROHAN-001,TXN-100013,RTGS,Debit,175000.00,Success
10014,5006,7001,DEVICE-SNEHA-001,TXN-100014,UPI,Debit,4200.00,Success
10015,5007,7002,DEVICE-VIKRAM-001,TXN-100015,Mobile Banking,Debit,1000.00,Success
10016,5008,7009,DEVICE-NEHA-001,TXN-100016,UPI,Debit,18500.00,Success
10017,5009,7010,DEVICE-KARAN-001,TXN-100017,NEFT,Debit,72000.00,Success
10018,5010,7011,DEVICE-MEERA-001,TXN-100018,Mobile Banking,Debit,12500.00,Pending
10019,5005,7006,DEVICE-ROHAN-001,TXN-100019,RTGS,Debit,350000.00,Blocked
10020,5008,7009,DEVICE-NEHA-001,TXN-100020,UPI,Credit,50000.00,Success
